ID,Name,Count
10288002,virtualJUG,1
8382432,expandingcircles,1
15061512,London-Education-Technology-Start-ups,1
23587720,Artificial-Intelligence-and-the-gambling-tech-sector-meetup,2
20106122,Eurostaff-Connect-Stockholm,1
17068942,Open-Data-London,1
20177807,Renewable-Energy-UK,1
209815,TO-frenchmeetup,1
22813592,BlockchainGlobal,1
18476818,Web-Analytics-Wednesday-London,3
19880859,Data-Science-Festival-London,12
16637082,Black-Entrepreneurs-Network,1
20278175,Intellectual-Property-Business,1
20923200,Enterprise-Artificial-Intelligence-AI-Lab,1
1309601,startups-london,1
18267043,Robotics-London,2
6443942,HPC-GPU-Supercomputing-Group-of-London,2
19452846,Young-Singles-Socials-Getaways-and-Speed-Dates,1
16812872,stand-up-talk-agile,1
18545586,vrlondon,3
19593715,UN-Influx,1
6984632,YoungLondoners,1
18432159,Venture-Hack-Network,1
22412886,London-Learn-Ruby-on-Rails,1
18339064,Oxford-African-Diaspora-Expat-Repat-Meetup,1
22320062,Blockchain-Workshop-for-Developers,1
19647424,Disruptive-Startups-Entrepreneurs,4
18674626,London-Data-Science-Journal-Club,5
18580419,Screens-Content-Augmented-and-Virtual-Reality-Meetup,3
18539460,Deep-Learning-Toronto-Meetup,1
18450132,London-Fintech-Marketing-Meetup-184606429kJgbYYNQ,1
1733576,londonprojectproductions2011,1
17867722,Woking-Guildford-40s-Singles,1
1729483,leancoffeeto,1
14574542,London-Bayesian-network-Meetup-Group,5
1817408,The-London-Educational-Games-Meetup-Group,1
19911635,ThinkBigAnalytics,1
17546062,Angular-London-BYOP,2
19768279,Artificial-Intelligence-Meetup-London,4
19721176,Le-Wagon-London-Coding-School,2
22746075,Web-XR,2
17980922,JUCE-Meetup,1
18133982,UX-for-Change,1
18877407,DataTech,7
20050912,Enterprise-Blockchain,2
23140176,Women-in-Engineering-Meetup-Facebook,1
23208930,Copy-Trading,1
1692643,london-software-craftsmanship,2
15170532,ReactTO,1
19139557,AWS-High-Performance-Computing-HPC-London-Meet-Up,2
20304876,London-Modern-Excel-Meetup,2
19752824,RapidMiner-Users-Community-Paris,1
20638710,meetup-group-ZovapbUW,1
19682295,Virtual-and-Augmented-Reality-for-Sports,1
340986,leedswalkinggroup,1
21759181,Self-Help-Philosophy-Personal-Development-Consciousness,1
16177322,London-Jess-Robbins-NLP-Practice-Group,1
21085182,Panel-What-makes-Smart-Contracts-so-Smart,1
20227071,Women-in-Java,1
1045504,mandarinlearners,1
18570244,Lagos-DataScience-Group,1
3760982,IOToronto,1
12391432,Wearables-London,4
19607724,London-Interactive-Music-Meetup,1
11932682,London-modular-synthesis-group,1
18427735,FREE-Internet-Marketing-Business-Workshop,1
6753292,Singularity-University-UK-London,1
19076109,Student-Robotics-in-London,2
10996752,julia-cajun,1
20389720,London-TensorFlow-Meetup,3
4925652,Cambridge-Internet-of-Things,1
22729747,London-Blockchain-Freelancers,2
21124117,London-WebVR-Meetup,3
19104790,MoJo-London,1
6240772,Python-Toronto,1
22956207,London-Sports-Analytics-Meetup,2
19178419,London-Jaspersoft-BI-Community-User-Group,1
12608542,Fashionista-Social-Club,1
19047456,Interracial-mix-and-mingle,1
1661987,The-Black-of-Clubs,1
7269412,naturalB,1
17383942,London-Medical-Technology-Entrepreneurs,1
11625512,Wearable-Wednesday-Toronto,1
23030245,London-Machine-Intelligence-Quants-Meetup,3
21268835,Dyslexic-and-Dyspraxic-Champions,1
22818653,Women-in-Kaggle,2
20245210,Convergence-where-tech-meets,2
4561972,londonmotion,1
23268408,Beating-Humans-in-Cognition,3
19549241,SW-London-Haskell,1
18244666,London-Venture-Capital-Angel-meetup,2
20581437,Investors-in-VR,2
16122942,Forward-Partners-Live-Tech-Startup-Speakers-Events,1
261183,londonphotographic,1
19125312,Crowdfunding-Accelerators-Investment-London,3
20617056,London-Museum-of-Happiness-Meetup-Group,1
1594214,FSharpLondon,1
